Sales Organization,Root CNPJ,Client Name,Transaction Date,Document Type,Value Confirmed,Value Reserved,NFE Number,NFE Item,PO Number
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-04-01,ZF2,1327.05,0.0,NF1001,000010,PO1001
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-04-01,ZTO,-40583.28,0.0,NF1002,000010,PO1002
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-04-01,ZS1,-37763.09,0.0,NF1003,000010,PO1003
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-04-01,ZS2,-42460.14,0.0,NF1004,000010,PO1004
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-04-01,ZS1,-22089.24,0.0,NF1005,000010,PO1005
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-04-01,ZF1,6373.94,0.0,NF1006,000010,PO1006
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-05-01,ZG1,-38207.31,0.0,NF1007,000010,PO1007
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-05-01,ZREA,0.0,-42315.63,NF1008,000010,PO1008
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-05-01,ZS2,-33905.75,0.0,NF1009,000010,PO1009
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-05-01,ZG1,31981.37,0.0,NF1010,000010,PO1010
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-06-01,ZTO,25023.38,0.0,NF1011,000010,PO1011
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-06-01,ZREA,0.0,-43553.39,NF1012,000010,PO1012
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-06-01,ZG1,-43944.25,0.0,NF1013,000010,PO1013
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-06-01,ZF2,-12350.79,0.0,NF1014,000010,PO1014
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-06-01,ZF2,20289.17,0.0,NF1015,000010,PO1015
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-06-01,ZS2,-9897.36,0.0,NF1016,000010,PO1016
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-06-01,ZF2,-36602.76,0.0,NF1017,000010,PO1017
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-06-01,ZS2,33058.75,0.0,NF1018,000010,PO1018
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-07-01,ZF1,21206.78,0.0,NF1019,000010,PO1019
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-07-01,ZF1,23367.88,0.0,NF1020,000010,PO1020
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-07-01,ZS2,-23225.37,0.0,NF1021,000010,PO1021
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-07-01,ZS1,5587.0,0.0,NF1022,000010,PO1022
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-07-01,ZOR,0.0,10528.24,NF1023,000010,PO1023
X401,07224991,NAZARIA DIST PROD FCEUTICO LTDA,2026-07-01,ZREB,0.0,-2994.29,NF1024,000010,PO1024
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-04-01,ZF2,40869.28,0.0,NF1025,000010,PO1025
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-04-01,ZG1,-39358.85,0.0,NF1026,000010,PO1026
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-04-01,ZG2,18275.55,0.0,NF1027,000010,PO1027
